English,English2,Thai,EnglishCode,ISO,FIPS,ThaiCode
MaeHongSon,Mae Hong Son,แม่ฮ่องสอน,MSN,TH-58,TH01,มส
ChiangMai,Chiang Mai,เชียงใหม่,CMI,TH-50,TH02,ชม
ChiangRai,Chiang Rai,เชียงราย,CRI,TH-57,TH03,ชร
Nan,Nan,น่าน,NAN,TH-55,TH04,นน
Lamphun,Lamphun,ลำพูน,LPN,TH-51,TH05,ลพ
Lampang,Lampang,ลำปาง,LPG,TH-52,TH06,ลป
Phrae,Phrae,แพร่,PRE,TH-54,TH07,พร
Tak,Tak,ตาก,TAK,TH-63,TH08,ตก
Sukhothai,Sukhothai (Sukhothai Thani),สุโขทัย,STI,TH-64,TH09,สข
Uttaradit,Uttaradit,อุตรดิตถ์,UTD,TH-53,TH10,อต
KamphaengPhet,Kamphaeng Phet,กำแพงเพชร,KPT,TH-62,TH11,กพ
Phitsanulok,Phitsanulok,พิษณุโลก,PLK,TH-65,TH12,พล
Phichit,Phichit,พิจิตร,PCT,TH-66,TH13,พจ
Phetchabun,Phetchabun,เพชรบูรณ์,PNB,TH-67,TH14,พช
UthaiThani,Uthai Thani,อุทัยธานี,UTI,TH-61,TH15,อน
NakhonSawan,Nakhon Sawan,นครสวรรค์,NSN,TH-60,TH16,นว
NongKhai,Nong Khai,หนองคาย,NKI,TH-43,TH17,นค
Loei,Loei,เลย,LEI,TH-42,TH18,ลย
SakonNakhon,Sakon Nakhon,สกลนคร,SNK,TH-47,TH20,สน
KhonKaen,Khon Kaen,ขอนแก่น,KKN,TH-40,TH22,ขก
Kalasin,Kalasin,กาฬสินธุ์,KSN,TH-46,TH23,กส
MahaSarakham,Maha Sarakham,มหาสารคาม,MKM,TH-44,TH24,มค
RoiEt,Roi Et,ร้อยเอ็ด,RET,TH-45,TH25,รอ
Chaiyaphum,Chaiyaphum,ชัยภูมิ,CPM,TH-36,TH26,ชย
NakhonRatchasima,Nakhon Ratchasima,นครราชสีมา,NMA,TH-30,TH27,นม
Buriram,Buriram,บุรีรัมย์,BRM,TH-31,TH28,บร
Surin,Surin,สุรินทร์,SRN,TH-32,TH29,สร
Sisaket,Sisaket,ศรีสะเกษ,SSK,TH-33,TH30,ศก
Narathiwat,Narathiwat,นราธิวาส,NWT,TH-96,TH31,นธ
ChaiNat,Chai Nat,ชัยนาท,CNT,TH-18,TH32,ชน
SingBuri,Sing Buri,สิงห์บุรี,SBR,TH-17,TH33,สห
Lopburi,Lopburi,ลพบุรี,LRI,TH-16,TH34,ลบ
AngThong,Ang Thong,อ่างทอง,ATG,TH-15,TH35,อท
PhraNakhonSiAyutthaya,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,AYA,TH-14,TH36,อย
Saraburi,Saraburi,สระบุรี,SRI,TH-19,TH37,สบ
Nonthaburi,Nonthaburi,นนทบุรี,NBI,TH-12,TH38,นบ
PathumThani,Pathum Thani,ปทุมธานี,PTE,TH-13,TH39,ปท
Bangkok,Bangkok,กรุงเทพมหานคร,BKK,TH-10,TH40,กท
Phayao,Phayao,พะเยา,PYO,TH-56,TH41,พย
SamutPrakan,Samut Prakan,สมุทรปราการ,SPK,TH-11,TH42,สป
NakhonNayok,Nakhon Nayok,นครนายก,NYK,TH-26,TH43,นย
Chachoengsao,Chachoengsao,ฉะเชิงเทรา,CCO,TH-24,TH44,ฉช
Chonburi,Chonburi,ชลบุรี,CBI,TH-20,TH46,ชบ
Rayong,Rayong,ระยอง,RYG,TH-21,TH47,รย
Chanthaburi,Chanthaburi,จันทบุรี,CTI,TH-22,TH48,จบ
Trat,Trat,ตราด,TRT,TH-23,TH49,ตร
Kanchanaburi,Kanchanaburi,กาญจนบุรี,KRI,TH-71,TH50,กจ 
SuphanBuri,Suphan Buri,สุพรรณบุรี,SPB,TH-72,TH51,สพ
Ratchaburi,Ratchaburi,ราชบุรี,RBR,TH-70,TH52,รบ
NakhonPathom,Nakhon Pathom,นครปฐม,NPT,TH-73,TH53,นฐ 
SamutSongkhram,Samut Songkhram,สมุทรสงคราม,SKM,TH-75,TH54,สส
SamutSakhon,Samut Sakhon,สมุทรสาคร,SKN,TH-74,TH55,สค
Phetchaburi,Phetchaburi,เพชรบุรี,PBI,TH-76,TH56,พบ
PrachuapKhiriKhan,Prachuap Khiri Khan,ประจวบคีรีขันธ์,PKN,TH-77,TH57,ปข
Chumphon,Chumphon,ชุมพร,CPN,TH-86,TH58,ชพ
Ranong,Ranong,ระนอง,RNG,TH-85,TH59,รน
SuratThani,Surat Thani,สุราษฎร์ธานี,SNI,TH-84,TH60,สฎ
PhangNga,Phang Nga,พังงา,PNA,TH-82,TH61,พง
Phuket,Phuket,ภูเก็ต,PKT,TH-83,TH62,ภก
Krabi,Krabi,กระบี่,KBI,TH-81,TH63,กบ
NakhonSiThammarat,Nakhon Si Thammarat,นครศรีธรรมราช,NRT,TH-80,TH64,นศ
Trang,Trang,ตรัง,TRG,TH-92,TH65,ตง
Phatthalung,Phatthalung,พัทลุง,PLG,TH-93,TH66,พท
Satun,Satun,สตูล,STN,TH-91,TH67,สต
Songkhla,Songkhla,สงขลา,SKA,TH-90,TH68,สท
Pattani,Pattani,ปัตตานี,PTN,TH-94,TH69,ปน
Yala,Yala,ยะลา,YLA,TH-95,TH70,ยล
Yasothon,Yasothon,ยโสธร,YST,TH-35,TH72,ยส
NakhonPhanom,Nakhon Phanom,นครพนม,NPM,TH-48,TH73,นพ
Prachinburi,Prachinburi,ปราจีนบุรี,PRI,TH-25,TH74,ปจ
UbonRatchathani,Ubon Ratchathani,อุบลราชธานี,UBN,TH-34,TH75,อบ
UdonThani,Udon Thani,อุดรธานี,UDN,TH-41,TH76,อด
AmnatCharoen,Amnat Charoen,อำนาจเจริญ,ACR,TH-37,TH77,อจ
Mukdahan,Mukdahan,มุกดาหาร,MDH,TH-49,TH78,มห
NongBuaLamphu,Nong Bua Lam Phu,หนองบัวลำภู,NBP,TH-39,TH79,นภ
SaKaeo,Sa Kaeo,สระแก้ว,SKW,TH-27,TH80,สก
BuengKan,Bueng Kan,บึงกาฬ,BKN,TH-38,TH81,บก
